pagamento_id,cliente_id,valor,data_pagamento
1,1,971.44,2025-01-17
2,2,298.89,2025-04-03
3,3,794.79,2025-01-18
4,4,729.37,2025-02-08
5,5,585.70,2025-01-16
6,6,679.19,2025-02-05
7,7,617.82,2025-03-02
8,8,805.43,2025-02-05
9,9,664.72,2025-02-19
10,10,567.10,2025-03-21
11,11,453.69,2025-02-03
12,12,791.81,2025-01-02
13,13,86.46,2025-04-05
14,14,462.17,2025-02-11
15,15,452.16,2025-02-05
16,16,148.12,2025-01-07
17,17,238.64,2025-02-26
18,18,829.30,2025-01-23
19,19,709.55,2025-03-14
20,20,341.45,2025-03-21
21,21,349.83,2025-04-10
22,22,740.84,2025-03-23
23,23,296.44,2025-01-23
24,24,440.02,2025-03-18
25,25,50.61,2025-04-02
26,26,543.47,2025-01-15
27,27,647.00,2025-02-02
28,28,517.96,2025-01-03
29,29,282.36,2025-04-09
30,30,744.60,2025-04-05
31,31,681.51,2025-02-18
32,32,317.48,2025-03-14
33,33,300.09,2025-04-07
34,34,704.23,2025-02-04
35,35,227.84,2025-03-16
36,36,758.47,2025-01-31
37,37,722.56,2025-01-24
38,38,625.37,2025-02-08
39,39,987.58,2025-02-18
40,40,172.26,2025-04-05
41,41,492.99,2025-02-28
42,42,657.19,2025-03-31
43,43,496.26,2025-04-03
44,44,675.63,2025-01-06
45,45,287.18,2025-03-26
46,46,138.34,2025-03-16
47,47,362.50,2025-04-13
48,48,617.58,2025-02-16
49,49,718.34,2025-02-01
50,50,161.90,2025-04-07
51,51,280.44,2025-03-07
52,52,281.98,2025-02-27
53,53,828.26,2025-03-06
54,54,165.00,2025-03-29
55,55,215.50,2025-01-17
56,56,528.74,2025-03-29
57,57,453.59,2025-01-04
58,58,244.75,2025-01-14
59,59,699.82,2025-03-25
60,60,323.34,2025-03-21
61,61,54.21,2025-03-26
62,62,207.92,2025-02-14
63,63,762.24,2025-03-16
64,64,274.20,2025-03-31
65,65,774.54,2025-02-15
66,66,359.42,2025-01-08
67,67,660.68,2025-03-07
68,68,33.21,2025-01-20
69,69,132.24,2025-03-18
70,70,298.13,2025-02-02
71,71,236.15,2025-04-07
72,72,301.32,2025-01-03
73,73,31.72,2025-03-17
74,74,514.56,2025-04-08
75,75,914.96,2025-01-18
76,76,24.35,2025-02-14
77,77,390.00,2025-03-26
78,78,160.84,2025-03-30
79,79,460.55,2025-01-28
80,80,816.24,2025-04-13
81,81,467.30,2025-04-01
82,82,404.61,2025-03-17
83,83,868.77,2025-01-18
84,84,189.39,2025-03-04
85,85,766.33,2025-03-21
86,86,760.84,2025-02-26
87,87,304.52,2025-04-09
88,88,609.48,2025-03-05
89,89,474.19,2025-03-18
90,90,98.84,2025-01-19
91,91,539.21,2025-03-06
92,92,693.55,2025-03-30
93,93,258.91,2025-01-16
94,94,349.88,2025-02-28
95,95,412.12,2025-03-07
96,96,489.56,2025-03-20
97,97,502.08,2025-02-02
98,98,792.75,2025-04-12
99,99,990.54,2025-03-02
100,100,211.46,2025-03-12
101,101,893.19,2025-01-29
102,102,934.25,2025-02-11
103,103,176.80,2025-02-05
104,104,740.07,2025-01-14
105,105,64.59,2025-03-23
106,106,372.07,2025-03-23
107,107,882.91,2025-02-06
108,108,358.17,2025-03-07
109,109,809.42,2025-03-11
110,110,773.33,2025-01-11
111,111,235.19,2025-02-13
112,112,755.18,2025-02-26
113,113,688.62,2025-02-09
114,114,641.02,2025-04-02
115,115,460.65,2025-03-11
116,116,446.70,2025-03-05
117,117,127.74,2025-02-10
118,118,311.99,2025-02-12
119,119,341.33,2025-04-11
120,120,426.80,2025-03-19
121,121,294.97,2025-02-05
122,122,83.79,2025-01-21
123,123,694.71,2025-01-07
124,124,264.42,2025-04-05
125,125,86.39,2025-02-03
126,126,991.35,2025-01-26
127,127,702.14,2025-01-28
128,128,547.10,2025-01-28
129,129,368.35,2025-04-11
130,130,245.34,2025-01-21
131,131,402.30,2025-04-11
132,132,274.42,2025-03-30
133,133,56.88,2025-04-04
134,134,956.27,2025-03-05
135,135,416.83,2025-02-24
136,136,434.27,2025-04-11
137,137,816.30,2025-02-13
138,138,815.17,2025-04-10
139,139,770.32,2025-03-27
140,140,187.37,2025-04-06
141,141,458.45,2025-03-31
142,142,961.41,2025-04-12
143,143,509.99,2025-02-23
144,144,963.73,2025-01-23
145,145,719.71,2025-04-01
146,146,776.47,2025-03-03
147,147,354.69,2025-03-25
148,148,540.01,2025-02-21
149,149,707.25,2025-01-05
150,150,104.86,2025-02-14
151,151,493.31,2025-03-19
152,152,194.54,2025-02-26
153,153,153.64,2025-03-11
154,154,76.96,2025-02-20
155,155,300.47,2025-03-28
156,156,867.33,2025-04-02
157,157,450.16,2025-01-31
158,158,142.85,2025-03-17
159,159,51.93,2025-04-12
160,160,177.37,2025-03-25
161,161,880.37,2025-03-12
162,162,617.92,2025-03-25
163,163,34.33,2025-03-09
164,164,346.55,2025-03-23
165,165,685.17,2025-03-24
166,166,946.15,2025-04-01
167,167,310.17,2025-03-31
168,168,205.38,2025-02-13
169,169,188.69,2025-03-30
170,170,492.46,2025-02-15
171,171,679.53,2025-03-03
172,172,103.42,2025-01-22
173,173,254.82,2025-02-24
174,174,120.48,2025-03-02
175,175,416.53,2025-03-29
176,176,91.11,2025-03-02
177,177,813.41,2025-03-24
178,178,781.80,2025-01-17
179,179,175.99,2025-01-07
180,180,872.50,2025-01-10
181,181,744.43,2025-04-05
182,182,631.30,2025-03-04
183,183,291.60,2025-02-05
184,184,328.14,2025-03-11
185,185,746.69,2025-02-28
186,186,633.64,2025-03-20
187,187,834.93,2025-03-06
188,188,535.13,2025-02-03
189,189,511.60,2025-02-26
190,190,993.62,2025-01-24
191,191,87.86,2025-01-12
192,192,566.42,2025-02-24
193,193,72.85,2025-02-22
194,194,736.62,2025-01-23
195,195,234.70,2025-01-31
196,196,460.39,2025-02-09
197,197,852.76,2025-02-25
198,198,452.03,2025-04-03
199,199,212.22,2025-01-29
200,200,717.70,2025-02-10
201,201,815.26,2025-01-25
202,202,257.02,2025-02-02
203,203,890.87,2025-02-08
204,204,313.59,2025-01-22
205,205,897.61,2025-01-23
206,206,161.94,2025-02-02
207,207,247.81,2025-01-08
208,208,952.94,2025-01-07
209,209,98.88,2025-02-11
210,210,619.86,2025-03-18
211,211,613.22,2025-01-19
212,212,760.93,2025-02-09
213,213,422.96,2025-01-20
214,214,831.45,2025-02-10
215,215,624.17,2025-02-05
216,216,848.98,2025-01-25
217,217,554.71,2025-03-18
218,218,622.13,2025-03-23
219,219,244.47,2025-03-01
220,220,587.11,2025-04-05
221,221,269.11,2025-02-16
222,222,658.00,2025-03-31
223,223,31.23,2025-01-18
224,224,74.12,2025-01-30
225,225,131.68,2025-03-09
226,226,480.58,2025-01-14
227,227,468.49,2025-03-15
228,228,670.24,2025-01-10
229,229,86.94,2025-04-08
230,230,360.75,2025-01-16
231,231,952.47,2025-01-05
232,232,868.71,2025-03-18
233,233,667.23,2025-03-30
234,234,382.25,2025-01-13
235,235,961.62,2025-02-27
236,236,733.33,2025-01-04
237,237,238.59,2025-03-02
238,238,564.71,2025-04-12
239,239,400.88,2025-02-22
240,240,813.24,2025-02-05
241,241,695.49,2025-04-03
242,242,128.88,2025-01-26
243,243,793.85,2025-02-01
244,244,800.60,2025-03-13
245,245,199.41,2025-02-25
246,246,850.24,2025-02-06
247,247,789.92,2025-04-07
248,248,476.71,2025-03-31
249,249,69.66,2025-04-08
250,250,709.68,2025-04-10
251,251,184.19,2025-02-24
252,252,369.29,2025-02-05
253,253,560.99,2025-01-03
254,254,970.93,2025-01-25
255,255,792.08,2025-03-13
256,256,203.90,2025-02-19
257,257,572.36,2025-03-14
258,258,808.18,2025-04-04
259,259,55.08,2025-04-10
260,260,67.30,2025-02-09
261,261,217.73,2025-03-17
262,262,883.75,2025-04-13
263,263,588.83,2025-04-01
264,264,786.63,2025-03-26
265,265,434.50,2025-01-11
266,266,669.74,2025-03-27
267,267,40.28,2025-02-03
268,268,286.74,2025-03-23
269,269,343.42,2025-03-03
270,270,519.17,2025-02-02
271,271,874.73,2025-03-17
272,272,632.02,2025-02-19
273,273,610.74,2025-01-19
274,274,789.52,2025-03-11
275,275,686.70,2025-03-23
276,276,255.84,2025-03-12
277,277,617.36,2025-02-15
278,278,845.20,2025-04-12
279,279,429.84,2025-02-02
280,280,634.64,2025-01-04
281,281,569.09,2025-03-31
282,282,496.00,2025-03-29
283,283,259.79,2025-04-12
284,284,806.85,2025-02-26
285,285,49.11,2025-02-15
286,286,183.70,2025-03-22
287,287,964.33,2025-01-24
288,288,823.29,2025-01-17
289,289,128.71,2025-01-17
290,290,465.02,2025-03-14
291,291,113.39,2025-01-10
292,292,748.80,2025-01-07
293,293,765.28,2025-01-11
294,294,823.18,2025-01-23
295,295,513.02,2025-03-04
296,296,369.90,2025-01-30
297,297,586.03,2025-01-27
298,298,41.13,2025-04-02
299,299,510.35,2025-01-02
300,300,689.22,2025-03-15
301,301,870.00,2025-02-26
302,302,343.53,2025-02-23
303,303,41.53,2025-02-13
304,304,381.09,2025-04-06
305,305,700.63,2025-01-29
306,306,598.66,2025-01-04
307,307,253.16,2025-02-08
308,308,888.44,2025-04-13
309,309,503.10,2025-03-26
310,310,803.12,2025-01-13
311,311,966.26,2025-01-21
312,312,702.36,2025-02-02
313,313,603.48,2025-01-25
314,314,155.46,2025-03-15
315,315,416.63,2025-01-17
316,316,224.02,2025-01-05
317,317,54.89,2025-03-26
318,318,704.00,2025-03-11
319,319,291.96,2025-03-27
320,320,624.50,2025-02-24
321,321,776.59,2025-03-07
322,322,876.23,2025-03-18
323,323,350.95,2025-04-11
324,324,608.23,2025-01-31
